Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,target
114,0.74,4,3,2,62.2,59.0,5.73,5.82,3.59,0
115,0.73,2,2,5,62.6,56.0,5.77,5.74,3.6,0
116,0.73,2,2,5,62.7,53.0,5.8,5.75,3.62,0
117,0.8,3,2,3,61.7,58.0,5.98,5.94,3.68,0
118,0.71,2,3,5,62.4,54.0,5.72,5.76,3.58,0
120,0.8,2,2,3,59.9,59.0,6.01,6.07,3.62,0
121,0.71,2,0,3,62.3,56.0,5.73,5.69,3.56,0
122,0.74,2,1,2,62.3,54.0,5.8,5.83,3.62,0
128,0.61,4,0,7,59.6,57.0,5.56,5.58,3.32,0
131,0.77,2,4,5,62.0,56.0,5.89,5.86,3.64,0
132,0.71,4,0,2,63.6,58.0,5.64,5.68,3.6,0
133,0.71,2,0,2,61.9,59.0,5.69,5.72,3.53,0
135,0.77,4,4,4,61.3,60.0,5.88,5.9,3.61,0
136,0.63,3,1,6,60.9,60.0,5.52,5.55,3.37,0
137,0.71,4,2,4,60.1,62.0,5.74,5.77,3.46,0
138,0.71,3,2,4,61.8,59.0,5.69,5.73,3.53,0
139,0.76,2,4,2,61.2,57.0,5.88,5.91,3.61,0
141,0.71,3,3,5,60.9,57.0,5.78,5.75,3.51,0
142,0.71,3,3,5,59.8,56.0,5.89,5.81,3.5,0
145,0.71,2,0,3,61.6,55.0,5.74,5.76,3.54,0
147,0.71,4,3,4,63.3,59.0,5.52,5.61,3.52,0
148,0.73,4,0,2,60.2,56.0,5.83,5.87,3.52,0
151,0.71,3,0,3,61.7,59.0,5.71,5.67,3.51,0
152,0.74,2,5,2,61.3,56.0,5.82,5.86,3.57,0
153,0.71,3,0,5,62.5,60.0,5.65,5.61,3.52,0
154,0.73,3,3,5,61.4,59.0,5.83,5.76,3.56,0
155,0.76,4,2,2,62.9,57.0,5.79,5.81,3.65,0
156,0.76,2,0,3,62.4,57.0,5.78,5.83,3.62,0
157,0.71,2,2,2,60.7,56.0,5.77,5.8,3.51,0
158,0.73,3,3,5,60.7,58.0,5.87,5.82,3.55,0
159,0.73,3,3,4,61.5,58.0,5.79,5.75,3.55,0
160,0.73,2,0,3,59.9,57.0,5.92,5.89,3.54,0
161,0.73,3,3,5,59.2,59.0,5.92,5.87,3.49,0
162,0.72,4,4,7,60.3,56.0,5.81,5.83,3.51,0
163,0.73,4,2,2,61.7,60.0,5.79,5.82,3.58,0
164,0.71,2,3,5,61.9,57.0,5.73,5.77,3.56,0
165,0.79,2,2,3,61.9,55.0,5.97,5.92,3.68,0
166,0.73,4,4,6,60.4,59.0,5.83,5.89,3.54,0
167,0.8,4,2,3,61.0,57.0,6.01,6.03,3.67,0
170,0.71,1,1,5,59.2,61.0,5.8,5.88,3.46,0
171,0.75,2,0,3,61.3,56.0,5.85,5.89,3.6,0
173,1.17,4,6,0,60.2,61.0,6.83,6.9,4.13,0
174,0.6,2,1,4,61.7,55.0,5.41,5.44,3.35,0
176,0.83,1,5,5,64.6,54.0,5.85,5.88,3.79,0
177,0.74,4,2,5,61.3,61.0,5.8,5.84,3.57,0
178,0.72,4,3,5,63.7,56.4,5.62,5.69,3.61,0
179,0.71,3,1,5,62.7,58.0,5.74,5.68,3.58,0
180,0.71,2,1,5,62.2,57.0,5.79,5.62,3.55,0
181,0.54,2,1,7,61.6,56.0,5.25,5.27,3.24,0
182,0.54,2,1,7,61.5,57.0,5.24,5.26,3.23,0
183,0.72,2,3,2,61.8,56.0,5.72,5.75,3.55,0
184,0.72,2,3,2,60.7,56.0,5.79,5.82,3.53,0
185,0.72,1,3,5,59.7,60.5,5.8,5.84,3.47,0
186,0.71,2,3,2,60.5,56.0,5.8,5.76,3.5,0
188,0.71,3,2,5,62.1,58.0,5.67,5.7,3.53,0
189,0.71,4,2,5,62.8,57.0,5.64,5.69,3.56,0
190,0.71,1,2,5,63.8,58.0,5.61,5.64,3.59,0
191,0.71,1,2,5,57.8,60.0,5.87,5.9,3.4,0
200,0.72,3,2,2,61.8,61.0,5.82,5.71,3.56,0
205,0.98,0,4,3,67.9,60.0,6.05,5.97,4.08,0
206,0.78,3,2,2,62.4,58.0,5.83,5.8,3.63,0
208,0.52,2,2,6,61.3,55.0,5.19,5.22,3.19,0
209,0.73,4,4,5,60.8,56.0,5.82,5.84,3.55,0
210,0.74,2,1,2,61.7,56.0,5.84,5.8,3.59,0
212,0.77,3,3,5,61.2,58.0,5.9,5.93,3.62,0
213,0.71,2,2,5,62.1,54.0,5.68,5.72,3.54,0
214,0.74,2,3,4,61.5,55.0,5.81,5.86,3.59,0
216,1.01,3,2,0,61.8,60.0,6.39,6.36,3.94,0
217,0.77,2,4,2,62.2,56.0,5.83,5.88,3.64,0
218,0.78,2,4,2,61.2,56.0,5.92,5.99,3.64,0
219,0.72,4,4,4,60.6,63.0,5.83,5.76,3.51,0
220,0.53,4,0,7,57.5,64.0,5.34,5.37,3.08,0
221,0.76,2,3,5,61.3,56.0,5.9,5.94,3.63,0
224,0.75,4,0,3,63.1,58.0,5.78,5.73,3.63,0
225,0.72,2,0,2,60.8,57.0,5.76,5.75,3.5,0
226,0.72,3,0,2,62.7,59.0,5.73,5.69,3.58,0
228,0.84,0,3,2,55.1,67.0,6.39,6.2,3.47,0
229,0.75,3,2,2,61.4,59.0,5.88,5.85,3.6,0
230,0.52,2,2,1,62.2,55.0,5.14,5.18,3.21,0
231,0.72,4,2,5,63.0,54.0,5.69,5.73,3.6,0
232,0.79,4,4,4,63.7,56.0,5.85,5.92,3.75,0
233,0.72,4,2,5,63.6,58.0,5.66,5.69,3.61,0
234,0.51,2,2,6,62.0,57.0,5.11,5.15,3.18,0
237,0.83,4,5,4,61.1,60.0,6.07,6.1,3.72,0
238,0.76,2,5,7,61.8,56.0,5.85,5.87,3.62,0
239,0.71,1,0,5,63.3,56.0,5.64,5.68,3.58,0
240,0.77,1,3,4,59.4,64.0,5.97,5.92,3.53,0
241,0.71,2,2,2,62.5,55.0,5.71,5.65,3.55,0
242,1.01,0,1,0,64.5,58.0,6.29,6.21,4.03,0
243,1.01,3,4,3,62.7,59.0,6.31,6.22,3.93,0
244,0.77,1,2,2,64.2,52.0,5.81,5.77,3.72,0
245,0.76,1,1,2,63.7,54.0,5.76,5.85,3.7,0
246,0.76,3,1,2,60.4,58.0,5.92,5.94,3.58,0
247,0.76,3,1,2,61.8,58.0,5.82,5.86,3.61,0
248,1.05,4,6,3,63.2,56.0,6.49,6.45,4.09,0
249,0.81,2,3,3,61.6,56.0,5.97,6.01,3.69,0
251,0.55,2,3,1,60.9,57.0,5.28,5.3,3.22,0
252,0.81,1,3,3,61.0,61.0,5.94,5.99,3.64,0
253,0.63,3,1,7,62.1,57.0,5.48,5.41,3.38,0
254,0.63,3,1,6,60.9,60.0,5.55,5.52,3.37,0
255,0.77,3,4,4,61.3,60.0,5.9,5.88,3.61,0
256,1.05,0,6,3,65.8,59.0,6.41,6.27,4.18,0
258,0.76,3,5,6,58.8,59.0,6.0,5.94,3.51,0
259,0.83,2,2,3,62.3,55.0,6.02,6.05,3.76,0
260,0.71,3,2,4,60.1,62.0,5.77,5.74,3.46,0
261,0.71,3,2,4,61.8,59.0,5.73,5.69,3.53,0
262,0.87,4,5,2,63.6,55.8,6.07,6.1,3.87,0
263,0.73,2,1,2,62.2,56.0,5.74,5.78,3.58,0
264,0.71,3,1,2,59.2,59.0,5.83,5.86,3.46,0
265,0.71,3,1,2,61.8,59.0,5.7,5.75,3.54,0
266,0.71,2,1,2,61.3,55.0,5.72,5.77,3.52,0
269,0.76,3,4,7,59.6,57.0,5.91,5.86,3.51,0
271,0.79,4,3,2,60.6,57.0,5.98,6.06,3.65,0
274,0.76,2,5,5,61.3,56.0,5.87,5.91,3.61,0
275,0.73,2,4,5,62.7,55.0,5.72,5.76,3.6,0
276,0.79,4,1,2,63.2,56.0,5.91,5.86,3.72,0
277,0.71,4,1,5,60.7,56.0,5.81,5.82,3.53,0
278,0.81,3,5,7,61.9,60.0,5.91,5.86,3.64,0
279,0.81,2,2,3,62.6,55.0,5.92,5.96,3.72,0
280,0.72,1,2,4,60.7,60.0,5.74,5.72,3.48,0
281,0.72,3,0,3,62.0,60.0,5.73,5.69,3.54,0
282,0.72,3,5,1,63.0,57.0,5.72,5.7,3.6,0
283,0.81,3,4,5,58.0,59.0,6.17,6.13,3.57,0
284,0.72,3,3,5,62.9,57.0,5.73,5.65,3.58,0
285,1.0,3,5,3,58.2,60.0,6.61,6.55,3.83,0
286,0.73,1,1,2,63.2,58.0,5.7,5.76,3.62,0
287,0.81,4,4,3,61.3,59.0,5.94,6.01,3.66,0
288,0.81,4,1,2,60.3,60.0,6.07,6.1,3.67,0
289,0.71,3,0,2,62.7,60.0,5.67,5.71,3.57,0
290,0.71,3,0,2,61.3,58.0,5.73,5.75,3.52,0
291,0.71,3,0,2,61.6,60.0,5.74,5.69,3.52,0
292,0.57,2,2,7,61.9,55.0,5.34,5.35,3.31,0
293,0.51,2,0,6,61.7,56.0,5.12,5.16,3.17,0
294,0.72,2,3,5,61.9,58.0,5.72,5.75,3.55,0
295,0.74,2,4,4,61.8,58.0,5.77,5.81,3.58,0
296,0.74,2,4,4,61.6,56.0,5.81,5.82,3.58,0
298,0.8,3,2,3,61.0,57.0,6.03,6.01,3.67,0
299,1.01,0,1,3,67.4,60.0,6.19,6.05,4.13,0
300,0.8,4,4,5,63.4,60.0,5.92,5.82,3.72,0
301,0.77,2,5,4,61.5,59.0,5.87,5.91,3.62,0
302,0.83,4,1,3,58.0,62.0,6.19,6.25,3.61,0
304,0.78,2,0,2,61.9,57.0,5.91,5.86,3.64,0
305,0.6,4,3,1,61.6,56.0,5.43,5.46,3.35,0
306,0.9,1,5,3,62.2,59.0,6.07,6.11,3.79,0
308,0.9,4,5,3,61.3,56.0,6.17,6.23,3.8,0
309,0.83,2,3,2,62.3,57.0,5.99,6.08,3.76,0
310,0.83,2,3,2,61.8,57.0,6.03,6.07,3.74,0
311,0.83,4,4,2,62.5,59.0,5.95,6.02,3.74,0
312,0.74,3,3,4,62.9,60.0,5.74,5.68,3.59,0
313,0.79,2,5,4,61.8,59.0,5.92,5.95,3.67,0
314,0.61,2,3,1,62.3,56.0,5.43,5.45,3.39,0
315,0.76,0,3,4,59.0,70.0,5.89,5.8,3.46,0
316,0.96,2,2,0,60.7,55.0,6.37,6.41,3.88,0
317,0.73,2,2,5,62.5,55.0,5.8,5.76,3.61,0
318,0.73,3,2,5,62.7,58.0,5.76,5.7,3.59,0
319,0.75,2,4,2,60.4,57.0,5.93,5.96,3.59,0
320,0.71,3,2,5,62.1,58.0,5.7,5.67,3.53,0
321,0.71,1,2,5,57.8,60.0,5.9,5.87,3.4,0
322,0.71,1,2,5,63.8,58.0,5.64,5.61,3.59,0
323,0.71,3,2,5,62.8,57.0,5.69,5.64,3.56,0
324,1.04,3,3,0,62.2,58.0,6.46,6.41,4.0,0
325,1.0,3,6,3,62.3,58.0,6.45,6.34,3.98,0
326,0.87,4,3,3,59.9,58.0,6.19,6.23,3.72,0
327,0.53,2,2,1,61.9,54.0,5.22,5.25,3.24,0
328,0.72,3,1,5,63.0,55.0,5.79,5.61,3.59,0
329,0.72,3,2,4,62.4,58.0,5.83,5.7,3.6,0
331,0.74,4,1,2,63.5,56.0,5.74,5.79,3.66,0
332,0.71,2,3,5,61.3,56.0,5.75,5.71,3.51,0
333,0.73,2,1,2,60.6,54.0,5.84,5.89,3.55,0
335,0.71,3,2,5,62.6,58.0,5.7,5.67,3.56,0
336,0.71,3,2,5,58.0,62.0,5.85,5.81,3.38,0
337,0.71,3,3,4,62.4,61.0,5.7,5.65,3.54,0
338,0.77,3,3,5,61.3,57.0,5.93,5.88,3.62,0
339,0.71,3,3,5,59.9,60.0,5.81,5.77,3.47,0
340,0.78,3,3,5,60.8,58.0,6.03,5.95,3.64,0
341,0.71,4,3,4,63.5,55.0,5.66,5.64,3.59,0
343,0.71,4,1,5,63.8,58.0,5.62,5.66,3.6,0
344,0.71,4,1,5,64.0,57.0,5.66,5.68,3.63,0
345,0.8,4,1,3,62.5,56.0,5.88,5.96,3.7,0
347,0.72,2,2,4,61.7,57.0,5.74,5.77,3.55,0
348,0.72,4,2,4,62.2,58.0,5.75,5.7,3.56,0
351,0.72,2,0,2,62.2,56.0,5.74,5.77,3.58,0
352,0.72,2,0,2,61.5,54.0,5.77,5.8,3.56,0
353,0.9,0,5,2,67.3,59.0,5.93,5.84,3.96,0
354,0.74,3,2,5,61.7,58.0,5.85,5.78,3.59,0
355,0.74,3,2,5,61.9,56.0,5.8,5.77,3.58,0
356,0.73,2,1,3,61.8,58.0,5.77,5.81,3.58,0
357,0.57,0,1,6,58.7,66.0,5.34,5.43,3.16,0
358,0.73,3,2,5,62.5,57.0,5.75,5.7,3.58,0
359,0.72,2,3,5,62.8,56.0,5.74,5.7,3.59,0
360,0.74,0,2,5,61.1,68.0,5.82,5.75,3.53,0
362,0.81,4,3,2,62.5,60.0,5.89,5.94,3.69,0
363,0.75,4,4,6,60.6,58.0,5.85,5.9,3.56,0
365,0.71,4,2,4,62.2,58.0,5.66,5.72,3.54,0
366,0.71,4,2,4,60.0,57.0,5.84,5.9,3.52,0
367,0.93,3,6,3,61.9,57.0,6.21,6.19,3.84,0
368,0.8,4,4,5,62.8,57.0,5.87,5.91,3.7,0
370,1.0,0,3,0,66.4,59.0,6.16,6.09,4.07,0
371,0.75,4,3,5,63.4,56.0,5.78,5.74,3.65,0
373,0.73,4,0,2,63.1,57.0,5.74,5.7,3.61,0
374,0.81,4,2,2,63.1,59.0,5.85,5.79,3.67,0
375,0.81,3,0,3,59.2,57.0,6.15,6.05,3.61,0
376,0.71,3,2,2,60.7,54.0,5.84,5.8,3.53,0
380,0.74,2,0,3,61.7,55.0,5.81,5.85,3.6,0
382,0.8,1,3,2,62.7,57.0,5.84,5.93,3.69,0
383,0.75,4,2,2,63.4,58.0,5.72,5.76,3.64,0
384,0.83,4,0,2,63.5,54.0,5.98,5.95,3.79,0
385,1.0,0,6,5,65.7,59.0,6.14,6.07,4.01,0
386,0.99,0,5,3,68.1,56.0,6.21,6.06,4.18,0
391,0.32,3,5,2,62.7,58.0,4.37,4.34,2.73,0
392,0.32,3,5,2,62.8,58.0,4.39,4.34,2.74,0
393,0.32,2,5,2,62.4,57.0,4.37,4.35,2.72,0
394,0.32,3,5,2,61.0,59.0,4.39,4.36,2.67,0
395,0.32,4,5,2,63.1,56.0,4.39,4.36,2.76,0
396,0.32,2,5,2,60.7,57.0,4.47,4.42,2.7,0
397,0.3,3,4,2,60.9,59.0,4.31,4.29,2.62,0
398,0.3,3,4,2,60.1,55.0,4.41,4.38,2.64,0
399,0.3,3,4,2,62.9,58.0,4.28,4.24,2.68,0
400,0.3,4,4,2,63.3,56.0,4.29,4.27,2.71,0
401,0.3,1,4,2,63.8,55.0,4.26,4.2,2.7,0
402,0.3,2,4,2,62.9,57.0,4.27,4.22,2.67,0
403,0.3,4,4,2,63.4,60.0,4.25,4.23,2.69,0
404,0.32,1,5,2,63.9,55.0,4.36,4.34,2.78,0
405,0.33,2,4,3,61.4,56.0,4.85,4.79,2.95,0
406,0.29,4,1,4,61.9,55.0,4.28,4.33,2.66,0
407,0.29,4,1,4,62.4,55.0,4.2,4.25,2.63,0
408,0.31,4,2,2,61.8,58.0,4.32,4.35,2.68,0
413,0.3,2,3,4,62.3,56.0,4.29,4.31,2.68,0
414,0.29,2,2,4,61.6,56.0,4.26,4.31,2.64,0
415,0.35,2,3,2,60.6,56.0,4.56,4.58,2.77,0
417,0.32,4,2,5,61.4,58.0,4.37,4.42,2.7,0
418,0.36,2,5,5,61.9,56.0,4.54,4.57,2.82,0
419,0.3,2,3,5,62.0,56.0,4.28,4.3,2.66,0
423,0.71,2,0,2,62.4,57.0,5.69,5.72,3.56,0
424,0.99,0,6,2,55.0,61.0,6.72,6.67,3.68,0
425,0.73,3,1,5,58.6,60.0,5.92,5.89,3.46,0
426,0.51,2,2,6,62.0,57.0,5.15,5.11,3.18,0
428,0.84,4,1,2,63.4,55.0,6.0,5.95,3.79,0
430,0.76,3,1,2,62.2,59.0,5.86,5.81,3.63,0
431,0.76,2,1,2,61.7,57.0,5.88,5.85,3.62,0
432,0.75,3,1,2,61.1,59.0,5.86,5.83,3.57,0
433,0.55,4,0,6,61.5,56.0,5.23,5.27,3.23,0
434,0.76,4,2,3,58.5,62.0,5.93,6.01,3.49,0
435,0.74,3,3,4,61.7,58.0,5.79,5.81,3.58,0
440,0.9,0,6,5,65.0,56.0,6.08,6.04,3.94,0
441,0.95,0,2,3,56.0,60.0,6.62,6.53,3.68,0
442,0.89,3,4,3,60.2,59.0,6.26,6.23,3.76,0
443,0.72,3,1,5,58.3,58.0,5.99,5.92,3.47,0
444,0.96,0,1,3,53.1,63.0,6.73,6.65,3.55,0
445,1.02,3,3,0,60.3,58.0,6.55,6.5,3.94,0
446,0.78,4,5,7,61.4,56.0,5.91,5.95,3.64,0
447,0.61,2,3,7,60.1,57.0,5.52,5.54,3.32,0
448,0.71,1,0,4,63.4,55.0,5.61,5.69,3.58,0
449,0.78,3,2,2,61.5,59.0,5.96,5.88,3.64,0
450,0.87,2,4,3,62.7,56.0,6.16,6.13,3.85,0
451,0.83,2,4,2,62.5,55.0,6.04,6.0,3.76,0
452,0.71,3,1,2,61.3,56.0,5.78,5.73,3.53,0
453,0.71,2,5,7,60.2,56.0,5.84,5.89,3.53,0
454,0.71,2,1,5,62.7,57.0,5.66,5.64,3.54,0
455,0.71,3,1,5,62.3,58.0,5.69,5.65,3.53,0
456,0.63,2,2,7,61.5,56.0,5.48,5.52,3.38,0
457,0.71,3,1,2,59.2,59.0,5.86,5.83,3.46,0
458,0.71,3,1,2,61.8,59.0,5.75,5.7,3.54,0
459,0.71,2,1,2,61.3,55.0,5.77,5.72,3.52,0
460,0.71,3,1,2,61.4,58.0,5.77,5.73,3.53,0
461,0.9,2,6,5,62.8,55.0,6.2,6.16,3.88,0
462,0.71,1,1,2,62.8,64.0,5.6,5.54,3.5,0
466,1.0,3,4,0,61.3,60.0,6.43,6.39,3.93,0
467,0.86,3,2,3,59.3,62.0,6.36,6.22,3.73,0
468,0.8,2,4,2,61.0,57.0,6.07,6.0,3.68,0
473,1.0,0,4,3,65.3,62.0,6.34,6.12,4.08,0
474,0.72,4,3,4,63.8,58.0,5.64,5.68,3.61,0
475,0.72,2,4,4,62.3,56.0,5.73,5.77,3.58,0
477,0.86,1,2,3,64.3,60.0,5.97,5.95,3.83,0
478,0.71,2,3,4,62.9,58.0,5.66,5.69,3.57,0
479,0.75,2,1,2,62.0,57.0,5.8,5.78,3.59,0
480,0.73,3,1,5,61.6,59.0,5.77,5.73,3.54,0
481,0.53,2,1,6,61.9,55.0,5.2,5.21,3.22,0
482,0.73,3,1,2,61.3,58.0,5.83,5.76,3.55,0
483,0.73,1,1,2,63.6,57.0,5.72,5.7,3.63,0
484,0.73,3,1,2,59.6,61.0,5.92,5.85,3.51,0
485,0.73,3,1,2,62.2,59.0,5.77,5.68,3.56,0
486,0.73,3,0,2,61.7,55.0,5.84,5.82,3.6,0
487,0.73,4,1,2,63.2,58.0,5.76,5.7,3.62,0
489,0.72,3,1,5,60.3,59.0,5.84,5.8,3.51,0
490,0.72,3,1,5,60.9,60.0,5.8,5.76,3.52,0
491,0.72,3,1,5,62.4,59.0,5.77,5.7,3.58,0
493,0.6,2,2,7,62.0,55.0,5.37,5.4,3.34,0
494,0.74,2,5,6,60.8,57.0,5.85,5.89,3.57,0
495,0.73,2,2,2,62.1,55.0,5.75,5.78,3.58,0
496,0.71,3,0,2,62.7,60.0,5.71,5.67,3.57,0
497,0.71,3,0,2,61.3,58.0,5.75,5.73,3.52,0
500,0.9,1,6,5,64.0,61.0,6.04,6.03,3.86,0
501,0.71,2,0,2,60.2,56.0,5.86,5.83,3.52,0
511,0.79,4,0,3,62.8,59.0,5.86,5.9,3.69,0
512,0.9,1,5,2,63.8,57.0,6.06,6.13,3.89,0
513,0.71,3,1,5,62.3,58.0,5.71,5.66,3.54,0
514,0.61,2,1,7,61.3,54.0,5.51,5.59,3.4,0
515,0.9,0,4,3,65.8,54.0,6.05,5.98,3.96,0
516,0.71,2,1,2,60.5,56.0,5.77,5.73,3.47,0
517,0.71,3,0,5,61.2,59.0,5.74,5.69,3.5,0
518,0.77,2,5,7,62.1,57.0,5.84,5.86,3.63,0
519,0.74,1,1,4,63.1,58.0,5.73,5.75,3.62,0
522,0.71,3,3,4,62.2,59.0,5.73,5.66,3.54,0
523,0.83,3,4,2,60.0,59.0,6.08,6.05,3.64,0
524,0.73,4,3,4,62.0,57.0,5.75,5.8,3.58,0
525,0.83,3,4,2,62.5,59.0,6.02,5.95,3.74,0
526,1.17,3,6,0,60.2,61.0,6.9,6.83,4.13,0
528,0.73,3,1,4,62.6,60.0,5.75,5.68,3.58,0
530,0.9,3,5,3,62.2,59.0,6.11,6.07,3.79,0
534,0.9,4,5,3,63.5,56.0,6.17,6.07,3.88,0
535,0.78,3,2,2,60.8,60.0,5.97,5.94,3.62,0
536,0.96,2,2,0,60.7,55.0,6.41,6.37,3.88,0
538,0.72,1,0,5,64.0,54.0,5.68,5.7,3.64,0
539,0.79,3,4,7,62.6,58.0,5.96,5.9,3.71,0
543,1.01,3,4,3,61.6,61.0,6.39,6.31,3.91,0
544,0.72,3,2,4,62.2,58.0,5.75,5.7,3.56,0
545,0.8,1,1,3,63.7,54.0,5.91,5.87,3.75,0
546,0.59,2,1,6,62.0,56.0,5.36,5.38,3.33,0
547,0.72,2,2,4,61.7,57.0,5.77,5.74,3.55,0
548,0.75,3,1,3,61.9,57.0,5.88,5.82,3.62,0
549,0.8,3,1,3,60.2,57.0,6.05,6.01,3.63,0
550,0.71,4,1,5,62.7,59.0,5.65,5.7,3.56,0
551,0.77,4,4,2,61.7,56.0,5.84,5.89,3.62,0
552,0.97,2,2,0,60.7,56.0,6.41,6.43,3.9,0
553,0.53,2,2,6,60.9,57.0,5.23,5.29,3.19,0
554,0.53,2,2,6,61.8,57.0,5.16,5.19,3.2,0
555,0.8,2,5,5,62.1,54.4,5.94,5.99,3.7,0
556,0.9,3,3,2,60.6,62.0,6.21,6.13,3.74,0
557,0.76,4,1,3,60.8,60.0,5.89,5.98,3.61,0
